Tamanho da mensagem;Tempo (ms)
1000;1
10000;3
50000;6
100000;10
500000;38
1000000;63
2000000;130

1000;2
10000;3
50000;5
100000;8
500000;39
1000000;61
2000000;134

1000;2
10000;3
50000;5
100000;9
500000;42
1000000;62
2000000;132
